"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Avenella flexuosa",-78.666744,38.939664,"cdc,inmafu","US","PRESENT",243,"LFCC","3357424921","https://www.sernecportal.org/portal/collections/individual/index.php?occid=23538376","PRESERVED_SPECIMEN",1977,7,3,"1977-07-03","WGS84",NA,"LFCC-0002664"
"Avenella flexuosa",-86.70926,46.25316,"","US","PRESENT",969,"MICH","1989382067",NA,"PRESERVED_SPECIMEN",1976,7,22,"1976-07-22","WGS84",NA,"1212533"
"Avenella flexuosa",-76.110789,44.301244,"cdc,colmafu,inmafu","CA","PRESENT",320,"CM","2859252606","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11686075","PRESERVED_SPECIMEN",1975,6,24,"1975-06-24","WGS84",NA,"CM296067"
"Avenella flexuosa",-83.39338,34.761906,"cdc,colmafu,inmafu","US","PRESENT",620,"NCU","2234630062","https://sernecportal.org/portal/collections/individual/index.php?occid=8119094","PRESERVED_SPECIMEN",1975,7,3,"1975-07-03","WGS84",NA,"NCU00174251"
"Avenella flexuosa",-73.45483,42.0448,"cdc,gass84,inmano","US","PRESENT",1,"UConn","606657942",NA,"PRESERVED_SPECIMEN",1975,7,22,"1975-07-22","WGS84",NA,"CONN00140684"
"Avenella flexuosa",-82.928234,35.31076,"cdc,gass84,inmafu","US","PRESENT",280,"WCUH","2273376977","https://sernecportal.org/portal/collections/individual/index.php?occid=18326299","PRESERVED_SPECIMEN",1974,9,15,"1974-09-15","WGS84",NA,"WCUH0028364"
"Avenella flexuosa",-86.440802,46.546824,"gass84","US","PRESENT",289,"MICH","1988898335",NA,"PRESERVED_SPECIMEN",1973,7,8,"1973-07-08","WGS84",NA,"1212531"
"Avenella flexuosa",-86.046441,46.645102,"gass84","US","PRESENT",505,"MICH","1989064813",NA,"PRESERVED_SPECIMEN",1973,7,3,"1973-07-03","WGS84",NA,"1212530"
"Avenella flexuosa",-86.29278,46.10714,"","US","PRESENT",969,"MICH","1989021262",NA,"PRESERVED_SPECIMEN",1972,6,15,"1972-06-15","WGS84",NA,"1212629"
"Avenella flexuosa",-86.37482,45.91775,"","US","PRESENT",969,"MICH","1988953219",NA,"PRESERVED_SPECIMEN",1972,7,7,"1972-07-07","WGS84",NA,"1212630"
"Avenella flexuosa",-76.299239,39.798731,"cdc,cdround,inmafu","US","PRESENT",150,"MVSC","3331188887",NA,"PRESERVED_SPECIMEN",1970,5,16,"1970-05-16","WGS84",NA,"442014"
"Avenella flexuosa",-76.299582,39.801184,"cdc,cdround,inmafu","US","PRESENT",150,"MVSC","3331198036",NA,"PRESERVED_SPECIMEN",1970,6,22,"1970-06-22","WGS84",NA,"451606"
"Avenella flexuosa",-76.312413,39.812918,"cdc,cdround,inmafu","US","PRESENT",150,"MVSC","3331192407",NA,"PRESERVED_SPECIMEN",1970,6,29,"1970-06-29","WGS84",NA,"452141"
"Avenella flexuosa",-81.109693,35.968533,"cdc,gass84,colmafu,inmafu","US","PRESENT",635,"WCUH","2273367203","https://sernecportal.org/portal/collections/individual/index.php?occid=10418907","PRESERVED_SPECIMEN",1970,10,16,"1970-10-16","WGS84",NA,"WCUH0018718"
