"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Carex filifolia",-116.977656,46.738359,"cdc,incomis,inmafu","US",NA,"PRESENT",85,"ID","4073902142",NA,"PRESERVED_SPECIMEN",1992,7,24,"1992-07-24","WGS84",NA,"167698"
"Carex filifolia",-116.977634,46.738329,"cdc,incomis,inmafu","US",NA,"PRESENT",85,"ID","4073918132",NA,"PRESERVED_SPECIMEN",1992,7,24,"1992-07-24","WGS84",NA,"167699"
"Carex filifolia",-108.6104,35.5377,"cdc,colmafu,inmafu","US",NA,"PRESENT",1000,"UNM","1843818638","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4028893","PRESERVED_SPECIMEN",1991,5,1,"1991-05-01","WGS84",NA,"UNM0088747"
"Carex filifolia",-117.269061,45.262179,"cdc,cdround,ambinst","US",NA,"PRESENT",201,"OSU","3820646200","https://oregonflora.org/collections/individual/index.php?occid=987963","PRESERVED_SPECIMEN",1990,8,29,"1990-08-29","WGS84",NA,NA
"Carex filifolia",-120.426433,39.666806,"cdc,colmafu,inmafu","US",NA,"PRESENT",200,"RENO","4404965103","https://intermountainbiota.org/portal/collections/individual/index.php?occid=21607278","PRESERVED_SPECIMEN",1989,4,8,"1989-04-08","WGS84",NA,"102131"
"Carex filifolia",-104.8383,47.5652,"cdc,incomis,inmafu","US",NA,"PRESENT",969,"MONTU","4069874467",NA,"PRESERVED_SPECIMEN",1989,5,18,"1989-05-18","WGS84",NA,"113044"
"Carex filifolia",-120.461944,39.95,"cdc,inmafu","US",NA,"PRESENT",805,"HSC","2982032527","https://cch2.org/portal/collections/individual/index.php?occid=1826531","PRESERVED_SPECIMEN",1989,6,12,"1989-06-12","WGS84",NA,NA
"Carex filifolia",-109.2302351,44.7307403,"cdc,cdrep,incomis,inmafu","US",NA,"PRESENT",800,"ID","4073783970",NA,"PRESERVED_SPECIMEN",1989,6,19,"1989-06-19","WGS84",NA,"161792"
"Carex filifolia",-96.206362,46.725004,"cdc,ambcol","US",NA,"PRESENT",800,"MIN","2265496143","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=51877","PRESERVED_SPECIMEN",1988,6,22,"1988-06-22","WGS84",NA,"814898"
"Carex filifolia",-102.015747,39.93436,"ambcol","US",NA,"PRESENT",584,"KU","895385573",NA,"PRESERVED_SPECIMEN",1987,7,27,"1987-07-27","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","50727"
"Carex filifolia",-104.485906,45.804805,"cdc,incomis,inmafu","US",NA,"PRESENT",440,"MONTU","4069942888",NA,"PRESERVED_SPECIMEN",1986,4,6,"1986-04-06","WGS84",NA,"107341"
"Carex filifolia",-104.3572,48.4398,"cdc,incomis,inmafu","US",NA,"PRESENT",969,"MONTU","4069936528",NA,"PRESERVED_SPECIMEN",1986,5,20,"1986-05-20","WGS84",NA,"107410"
"Carex filifolia",-104.4814,46.0473,"cdc,incomis,inmafu","US",NA,"PRESENT",969,"MONTU","4069877810",NA,"PRESERVED_SPECIMEN",1986,5,19,"1986-05-19","WGS84",NA,"89090"
"Carex filifolia",-104.539604,48.189023,"cdc,incomis,inmafu","US",NA,"PRESENT",638,"MONTU","4069940327",NA,"PRESERVED_SPECIMEN",1986,5,30,"1986-05-30","WGS84",NA,"107419"
"Carex filifolia",-107.5517609,42.4525716,"cdc,cdrep,incomis,inmafu","US",NA,"PRESENT",800,"ID","4073900102",NA,"PRESERVED_SPECIMEN",1986,6,13,"1986-06-13","WGS84",NA,"95669"
"Carex filifolia",-100.415182,44.434145,"cdc,inmafu","US",NA,"PRESENT",508,"BHSC","2512330706","https://ngpherbaria.org/portal/collections/individual/index.php?occid=21119226","PRESERVED_SPECIMEN",1984,5,19,"1984-05-19","WGS84",NA,"BHSC0050505"
"Carex filifolia",-114.5172588,43.2206157,"cdc,cdrep,incomis,inmafu","US",NA,"PRESENT",800,"ID","4073766495",NA,"PRESERVED_SPECIMEN",1984,5,18,"1984-05-18","WGS84",NA,"83264"
"Carex filifolia",-114.521812,43.221753,"cdc,incomis,inmafu","US",NA,"PRESENT",284,"ID","4073839141",NA,"PRESERVED_SPECIMEN",1984,7,1,"1984-07-01","WGS84",NA,"83052"
"Carex filifolia",-102.69105,40.95382,"cdc,ambinst","US",NA,"PRESENT",1000,"COLO","2573536466","https://botanydb.colorado.edu/collections/individual/index.php?occid=71231","PRESERVED_SPECIMEN",1983,5,21,"1983-05-21","WGS84",NA,"00268904"
"Carex filifolia",-108.163,45.195,"cdc,incomis,inmafu","US",NA,"PRESENT",969,"MONTU","4069904397",NA,"PRESERVED_SPECIMEN",1983,5,10,"1983-05-10","WGS84",NA,"111078"
"Carex filifolia",-101.63938,41.210161,"ambcol","US",NA,"PRESENT",533,"KU","318051770",NA,"PRESERVED_SPECIMEN",1983,6,8,"1983-06-08","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","208344"
"Carex filifolia",-114.0219592,44.1666105,"cdc,cdrep,incomis,inmafu","US",NA,"PRESENT",800,"ID","4073960699",NA,"PRESERVED_SPECIMEN",1983,6,22,"1983-06-22","WGS84",NA,"81187"
